'cos; k ˈ ə z
merger; m ˈ ɜː d͡ʒ ə
merit; m ˈ ɛ ɹ ɪ t
merits; m ˈ ɛ ɹ ɪ t s
mermaid; m ˈ ɜː m ˌ eɪ d
merrily; m ˈ ɛ ɹ ɪ l i
merry; m ˈ ɛ ɹ i
merseyside; m ˈ ɜː z ɪ s ˌ aɪ d
merton; m ˈ ɜː t ə n
mesa; m ˈ eɪ s ə
mesh; m ˈ ɛ ʃ
mess; m ˈ ɛ s
message; m ˈ ɛ s ɪ d͡ʒ
messages; m ˈ ɛ s ɪ d͡ʒ ɪ z
messaging; m ˈ ɛ s ɪ d͡ʒ ɪ ŋ
messed; m ˈ ɛ s t
messenger; m ˈ ɛ s ɪ n d͡ʒ ə
messing; m ˈ ɛ s ɪ ŋ
messrs; m ˈ ɛ s ə z
messy; m ˈ ɛ s i
met; m ˈ ɛ t
meta; m ˈ ɛ t ə
metabolism; m ɪ t ˈ æ b ə l ˌ ɪ z ə m
metadata; m ˈ ɛ t ə d ˌ eɪ t ə
metal; m ˈ ɛ t ə l
metallic; m ɪ t ˈ æ l ɪ k
metals; m ˈ ɛ t ə l z
metaphor; m ˈ ɛ t ə f ɔː
meteorology; m ˌ iː t ɪə ɹ ˈ ɒ l ə d͡ʒ i
meter; m ˈ iː t ə
meters; m ˈ iː t ə z
method; m ˈ ɛ θ ə d
methodology; m ˌ ɛ θ ə d ˈ ɒ l ə d͡ʒ i
methods; m ˈ ɛ θ ə d z
metre; m ˈ iː t ə
metres; m ˈ iː t ə z
metric; m ˈ ɛ t ɹ ɪ k
metro; m ˈ ɛ t ɹ ˌ əʊ
metropolitan; m ˌ ɛ t ɹ ə p ˈ ɒ l ɪ t ə n
mew; m j ˈ uː
mexican; m ˈ ɛ k s ɪ k ə n
mexico; m ˈ ɛ k s ɪ k ˌ əʊ
mhm; ə m h ə m
mia; m ˈ iː ə
miami; m aɪ ˈ æ m i
mic; m ˈ ɪ k
mice; m ˈ aɪ s
michael; m ˈ aɪ k ə l
michelle; m ɪ ʃ ˈ ɛ l
michigan; m ˈ ɪ ʃ ɪ g ə n
mick; m ˈ ɪ k
mickey; m ˈ ɪ k i
micro; m ˈ aɪ k ɹ ˌ əʊ
microphone; m ˈ aɪ k ɹ ə f ˌ əʊ n
microsoft; m ˈ aɪ k ɹ ə s ˌ ɒ f t
microwave; m ˈ aɪ k ɹ ə w ˌ eɪ v
midday; m ˈ ɪ d d ˌ eɪ
middle; m ˈ ɪ d ə l
middle-aged; m ˈ ɪ d ə l eɪ d͡ʒ d
middle-class; m ˈ ɪ d ə l k l ˌ ɑː s
middlesbrough; m ˈ ɪ d ə l z b ɹ ə
middlesex; m ˈ ɪ d ə l s ɛ k s
midget; m ˈ ɪ d͡ʒ ɪ t
midi; m ˈ ɪ d i
midland; m ˈ ɪ d l ə n d
midlands; m ˈ ɪ d l ə n d z
midlothian; m ɪ d l ˈ əʊ ð ɪə n
midnight; m ˈ ɪ d n ˌ aɪ t
midst; m ˈ ɪ d s t
midwest; m ˌ ɪ d w ˈ ɛ s t
miffed; m ˈ ɪ f t
might; m ˈ aɪ t
mightn't; m ˈ aɪ t ə n t
mighty; m ˈ aɪ t i
migrate; m aɪ g ɹ ˈ eɪ t
migration; m aɪ g ɹ ˈ eɪ ʃ ə n
mike; m ˈ aɪ k
mil; m ˈ ɪ l
milan; m ɪ l ˈ æ n
mild; m ˈ aɪ l d
mildly; m ˈ aɪ l d l i
mile; m ˈ aɪ l
mileage; m ˈ aɪ l ɪ d͡ʒ
miles; m ˈ aɪ l z
milf; m ˈ ɪ l f
milfs; m ˈ ɪ l f s
military; m ˈ ɪ l ɪ t ə ɹ i
milk; m ˈ ɪ l k
milkman; m ˈ ɪ l k m ˌ æ n
milky; m ˈ ɪ l k i
mill; m ˈ ɪ l
millennia; m ɪ l ˈ ɛ n ɪə
millennium; m ɪ l ˈ ɛ n ɪə m
miller; m ˈ ɪ l ə
millimeter; m ˈ ɪ l ɪ m ˌ iː t ə
millimetres; m ˈ ɪ l ɪ m ˌ iː t ə z
million; m ˈ ɪ l j ə n
millions; m ˈ ɪ l j ə n z
mills; m ˈ ɪ l z
milton; m ˈ ɪ l t ə n
milwaukee; m ɪ l w ˈ ɔː k i
mime; m ˈ aɪ m
mimic; m ˈ ɪ m ɪ k
mince; m ˈ ɪ n s
mincemeat; m ˈ ɪ n s m ˌ iː t
mind; m ˈ aɪ n d
minds; m ˈ aɪ n d z
mine; m ˈ aɪ n
miner; m ˈ aɪ n ə
mineral; m ˈ ɪ n ə ɹ ə l
minerals; m ˈ ɪ n ə ɹ ə l z
miners; m ˈ aɪ n ə z
mines; m ˈ aɪ n z
mini; m ˈ ɪ n i
miniature; m ˈ ɪ n ɪ t͡ʃ ə
minibus; m ˈ ɪ n ɪ b ˌ ʌ s
minima; m ˈ ɪ n ɪ m ə
minimal; m ˈ ɪ n ɪ m ə l
minimize; m ˈ ɪ n ɪ m ˌ aɪ z
minimum; m ˈ ɪ n ɪ m ə m
mining; m ˈ aɪ n ɪ ŋ
miniscule; m ˈ ɪ n ɪ s k j ˌ uː l
minister; m ˈ ɪ n ɪ s t ə
ministerial; m ˌ ɪ n ɪ s t ˈ ɪə ɹ ɪə l
ministers; m ˈ ɪ n ɪ s t ə z
ministries; m ˈ ɪ n ɪ s t ɹ i z
ministry; m ˈ ɪ n ɪ s t ɹ i
mink; m ˈ ɪ ŋ k
minneapolis; m ˌ ɪ n ɪ ˈ æ p ə l ɪ s
minnesota; m ˌ ɪ n ɪ s ˈ əʊ t ə
minor; m ˈ aɪ n ə
minorities; m aɪ n ˈ ɒ ɹ ɪ t i z
minority; m aɪ n ˈ ɒ ɹ ɪ t i
minority; m ɪ n ˈ ɒ ɹ ɪ t i
minors; m ˈ aɪ n ə z
minsk; m ˈ ɪ n s k
mint; m ˈ ɪ n t
minus; m ˈ aɪ n ə s
minuscule; m ˈ ɪ n ə s k j ˌ uː l
minute; m ˈ ɪ n ɪ t
minute; m aɪ n j ˈ uː t
minutes; m ˈ ɪ n ɪ t s
miracle; m ˈ ɪ ɹ ə k ə l
miracles; m ˈ ɪ ɹ ə k ə l z
mire; m ˈ aɪ ə
mirror; m ˈ ɪ ɹ ə
mirrors; m ˈ ɪ ɹ ə z
miscarriage; m ɪ s k ˈ æ ɹ ɪ d͡ʒ
miscarriages; m ɪ s k ˈ æ ɹ ɪ d͡ʒ ɪ z
miscellaneous; m ˌ ɪ s ə l ˈ eɪ n ɪə s
mischief; m ˈ ɪ s t͡ʃ ɪ f
mischievous; m ˈ ɪ s t͡ʃ ɪ v ə s
miserable; m ˈ ɪ z ɹ ə b ə l
miserable; m ˈ ɪ z ə ɹ ə b ə l
misery; m ˈ ɪ z ə ɹ i
mishap; m ˈ ɪ s h æ p
misleading; m ɪ s l ˈ iː d ɪ ŋ
miss; m ˈ ɪ s
missed; m ˈ ɪ s t
missile; m ˈ ɪ s aɪ l
missiles; m ˈ ɪ s aɪ l z
missing; m ˈ ɪ s ɪ ŋ
mission; m ˈ ɪ ʃ ə n
missions; m ˈ ɪ ʃ ə n z
missis; m ˈ ɪ s ɪ z
mississippi; m ˌ ɪ s ɪ s ˈ ɪ p i
missouri; m ɪ z ˈ ʊə ɹ i
misspell; m ˌ ɪ s s p ˈ ɛ l
misspelled; m ˌ ɪ s s p ˈ ɛ l d
mist; m ˈ ɪ s t
mistake; m ɪ s t ˈ eɪ k
mistaken; m ɪ s t ˈ eɪ k ə n
mistakes; m ɪ s t ˈ eɪ k s
mister; m ˈ ɪ s t ə
mistook; m ɪ s t ˈ ʊ k
mistress; m ˈ ɪ s t ɹ ɪ s
misty; m ˈ ɪ s t i
misunderstand; m ˌ ɪ s ʌ n d ə s t ˈ æ n d
misunderstanding; m ˌ ɪ s ʌ n d ə s t ˈ æ n d ɪ ŋ
misunderstood; m ˌ ɪ s ʌ n d ə s t ˈ ʊ d
mitchell; m ˈ ɪ t͡ʃ ə l
mite; m ˈ aɪ t
mitsubishi; m ˌ ɪ t s ʊ b ˈ ɪ ʃ i
mix; m ˈ ɪ k s
mixed; m ˈ ɪ k s t
mixer; m ˈ ɪ k s ə
mixing; m ˈ ɪ k s ɪ ŋ
mixture; m ˈ ɪ k s t͡ʃ ə
mm; m
mo; m ˈ əʊ
moan; m ˈ əʊ n
moaning; m ˈ əʊ n ɪ ŋ
moat; m ˈ əʊ t
mob; m ˈ ɒ b
mobile; m ˈ əʊ b aɪ l
mobiles; m ˈ əʊ b aɪ l z
mobility; m əʊ b ˈ ɪ l ɪ t i
mocha; m ˈ ɒ k ə
mock; m ˈ ɒ k
mod; m ˈ ɒ d
mode; m ˈ əʊ d
model; m ˈ ɒ d ə l
modeling; m ˈ ɒ d ə l ɪ ŋ
modelling; m ˈ ɒ d ə l ɪ ŋ
models; m ˈ ɒ d ə l z
modem; m ˈ əʊ d ɛ m
modems; m ˈ əʊ d ɛ m z
moderate; m ˈ ɒ d ə ɹ ˌ eɪ t
moderate; m ˈ ɒ d ə ɹ ɪ t
moderator; m ˈ ɒ d ə ɹ ˌ eɪ t ə
moderators; m ˈ ɒ d ə ɹ ˌ eɪ t ə z
modern; m ˈ ɒ d ə n
modes; m ˈ əʊ d z
modest; m ˈ ɒ d ɪ s t
modification; m ˌ ɒ d ɪ f ɪ k ˈ eɪ ʃ ə n
modifications; m ˌ ɒ d ɪ f ɪ k ˈ eɪ ʃ ə n z
modified; m ˈ ɒ d ɪ f ˌ aɪ d
modify; m ˈ ɒ d ɪ f ˌ aɪ
modular; m ˈ ɒ d j ʊ l ə
module; m ˈ ɒ d͡ʒ uː l
module; m ˈ ɒ d j uː l
modules; m ˈ ɒ d͡ʒ uː l z
modules; m ˈ ɒ d j uː l z
moira; m ˈ ɔɪ ɹ ə
moist; m ˈ ɔɪ s t
moisture; m ˈ ɔɪ s t͡ʃ ə
molar; m ˈ əʊ l ə
mold; m ˈ əʊ l d
moldova; m ˌ ɒ l d ˈ əʊ v ə
mole; m ˈ əʊ l
molecular; m ə l ˈ ɛ k j ʊ l ə
molecule; m ˈ ɒ l ɪ k j ˌ uː l
molecules; m ˈ ɒ l ɪ k j ˌ uː l z
molly; m ˈ ɒ l i
mom; m ˈ ɒ m
moment; m ˈ əʊ m ə n t
moments; m ˈ əʊ m ə n t s
momentum; m ə m ˈ ɛ n t ə m
momentum; m əʊ m ˈ ɛ n t ə m
mommy; m ˈ ɒ m i
moms; m ˈ ɒ m z
monaco; m ˈ ɒ n ə k ˌ əʊ
monarch; m ˈ ɒ n ə k
monarchs; m ˈ ɒ n ə k s
monarchy; m ˈ ɒ n ə k i
monday; m ˈ ʌ n d i
monday; m ˈ ʌ n d ˌ eɪ
mondays; m ˈ ʌ n d i z
mondays; m ˈ ʌ n d ˌ eɪ z
monetary; m ˈ ʌ n ɪ t ə ɹ i
money; m ˈ ʌ n i
mongolia; m ɒ ŋ g ˈ əʊ l ɪə
monica; m ˈ ɒ n ɪ k ə
monitor; m ˈ ɒ n ɪ t ə
monitored; m ˈ ɒ n ɪ t ə d
monitoring; m ˈ ɒ n ɪ t ə ɹ ɪ ŋ
monitors; m ˈ ɒ n ɪ t ə z
monk; m ˈ ʌ ŋ k
monkey; m ˈ ʌ ŋ k i
monkeys; m ˈ ʌ ŋ k i z
monks; m ˈ ʌ ŋ k s
mono; m ˈ əʊ n əʊ
monopoly; m ə n ˈ ɒ p ə l i
monroe; m ə n ɹ ˈ əʊ
monsignor; m ˌ ɒ n s ˈ iː n j ə
monster; m ˈ ɒ n s t ə
monsters; m ˈ ɒ n s t ə z
montana; m ɒ n t ˈ æ n ə
montenegro; m ˌ ɒ n t ɪ n ˈ iː g ɹ əʊ
montgomery; m ə n t g ˈ ʌ m ə ɹ i
month; m ˈ ʌ n θ
monthly; m ˈ ʌ n θ l i
months; m ˈ ʌ n θ s
montreal; m ˌ ɒ n t ɹ ɪ ˈ ɔː l
monument; m ˈ ɒ n j ʊ m ə n t
monumental; m ˌ ɒ n j ʊ m ˈ ɛ n t ə l
mood; m ˈ uː d
moody; m ˈ uː d i
moon; m ˈ uː n
moonlight; m ˈ uː n l ˌ aɪ t
moor; m ˈ ɔː
moor; m ˈ ʊə
moore; m ˈ ɔː
moore; m ˈ ʊə
moose; m ˈ uː s
moot; m ˈ uː t
mop; m ˈ ɒ p
mope; m ˈ əʊ p
moped; m ˈ əʊ p ɛ d
moped; m ˈ əʊ p t
moral; m ˈ ɒ ɹ ə l
morale; m ɒ ɹ ˈ ɑː l
morality; m ə ɹ ˈ æ l ɪ t i
moray; m ɒ ɹ ˈ eɪ
moray; m ˈ ʌ ɹ i
more; m ˈ ɔː
moreover; m ɔː ɹ ˈ əʊ v ə
morgan; m ˈ ɔː g ə n
morgue; m ˈ ɔː g
morn; m ˈ ɔː n
morning; m ˈ ɔː n ɪ ŋ
mornings; m ˈ ɔː n ɪ ŋ z
morocco; m ə ɹ ˈ ɒ k əʊ
moron; m ˈ ɔː ɹ ˌ ɒ n
morphological; m ˌ ɔː f ə l ˈ ɒ d͡ʒ ɪ k ə l
morphology; m ɔː f ˈ ɒ l ə d͡ʒ i
morris; m ˈ ɒ ɹ ɪ s
morrison; m ˈ ɒ ɹ ɪ s ə n
morse; m ˈ ɔː s
mortal; m ˈ ɔː t ə l
mortality; m ˌ ɔː t ˈ æ l ɪ t i
mortgage; m ˈ ɔː g ɪ d͡ʒ
mortgages; m ˈ ɔː g ɪ d͡ʒ ɪ z
mosaic; m ə z ˈ eɪ k
mosaic; m əʊ z ˈ eɪ k
moscow; m ˈ ɒ s k ˌ əʊ
moses; m ˈ əʊ z ɪ z
mosque; m ˈ ɒ s k
mosquito; m ə s k ˈ iː t əʊ
moss; m ˈ ɒ s
most; m ˈ əʊ s t
mostly; m ˈ əʊ s t l i
motel; m əʊ t ˈ ɛ l
motels; m əʊ t ˈ ɛ l z
moth; m ˈ ɒ θ
mother; m ˈ ʌ ð ə
mother-in-law; m ˈ ʌ ð ə ɹ ɪ n l ˌ ɔː
motherboard; m ˈ ʌ ð ə b ˌ ɔː d
motherfucker; m ˌ ʌ ð ə f ˈ ʌ k ə
motherfuckers; m ˌ ʌ ð ə f ˈ ʌ k ə z
mothers; m ˈ ʌ ð ə z
motif; m əʊ t ˈ iː f
motion; m ˈ əʊ ʃ ə n
motions; m ˈ əʊ ʃ ə n z
motivate; m ˈ əʊ t ɪ v ˌ eɪ t
motivated; m ˈ əʊ t ɪ v ˌ eɪ t ɪ d
motivation; m ˌ əʊ t ɪ v ˈ eɪ ʃ ə n
motive; m ˈ əʊ t ɪ v
motives; m ˈ əʊ t ɪ v z
motor; m ˈ əʊ t ə
motorbike; m ˈ əʊ t ə b ˌ aɪ k
motorcycle; m ˈ əʊ t ə s ˌ aɪ k ə l
motorcycles; m ˈ əʊ t ə s ˌ aɪ k ə l z
motorola; m ˌ əʊ t ə ɹ ˈ əʊ l ə
motors; m ˈ əʊ t ə z
motorway; m ˈ əʊ t ə w ˌ eɪ
motto; m ˈ ɒ t əʊ
mould; m ˈ əʊ l d
mound; m ˈ aʊ n d
mount; m ˈ aʊ n t
mountain; m ˈ aʊ n t ɪ n
mountains; m ˈ aʊ n t ɪ n z
mounted; m ˈ aʊ n t ɪ d
mounting; m ˈ aʊ n t ɪ ŋ
mounts; m ˈ aʊ n t s
mourn; m ˈ ɔː n
mouse; m ˈ aʊ s
mousse; m ˈ uː s
moustache; m ə s t ˌ ɑː ʃ
mouth; m ˈ aʊ θ
mouthful; m ˈ aʊ θ f ʊ l
move; m ˈ uː v
moved; m ˈ uː v d
movement; m ˈ uː v m ə n t
movements; m ˈ uː v m ə n t s
movers; m ˈ uː v ə z
moves; m ˈ uː v z
movie; m ˈ uː v i
movies; m ˈ uː v i z
moving; m ˈ uː v ɪ ŋ
mow; m ˈ əʊ
mowed; m ˈ əʊ d
mown; m ˈ əʊ n
mozambique; m ˌ əʊ z ə m b ˈ iː k
mozambique; m ˌ əʊ z æ m b ˈ iː k
mozart; m ˈ əʊ t s ɑː t
mozart; m ˈ əʊ z ɑː t
mozilla; m ˌ əʊ z ˈ ɪ l ə
mpeg; ˈ ɛ m p ˌ ɛ g
mpegs; ˈ ɛ m p ˌ ɛ g z
ms; m ˈ ɪ z
mu; m j ˈ uː
much; m ˈ ʌ t͡ʃ
muck; m ˈ ʌ k
mucking; m ˈ ʌ k ɪ ŋ
mucky; m ˈ ʌ k i
mucus; m j ˈ uː k ə s
mud; m ˈ ʌ d
muddy; m ˈ ʌ d i
muffin; m ˈ ʌ f ɪ n
muffled; m ˈ ʌ f ə l d
mug; m ˈ ʌ g
muir; m j ˈ ʊə
mulch; m ˈ ʌ l t͡ʃ
mule; m j ˈ uː l
mull; m ˈ ʌ l
multimedia; m ˌ ʌ l t ɪ m ˈ iː d ɪə
multinational; m ˌ ʌ l t ɪ n ˈ æ ʃ ə n ə l
multiple; m ˈ ʌ l t ɪ p ə l
multiply; m ˈ ʌ l t ɪ p l aɪ
mum; m ˈ ʌ m
mumbai; m ˌ ʊ m b ˈ aɪ
mummy; m ˈ ʌ m i
mumps; m ˈ ʌ m p s
mums; m ˈ ʌ m z
munch; m ˈ ʌ n t͡ʃ
munich; m j ˈ uː n ɪ k
municipal; m j uː n ˈ ɪ s ɪ p ə l
municipality; m j ˌ uː n ɪ s ɪ p ˈ æ l ɪ t i
mural; m j ˈ ʊə ɹ ə l
murder; m ˈ ɜː d ə
murdered; m ˈ ɜː d ə d
murderer; m ˈ ɜː d ə ɹ ə
murders; m ˈ ɜː d ə z
murky; m ˈ ɜː k i
murmur; m ˈ ɜː m ə
murmured; m ˈ ɜː m ə d
murphy; m ˈ ɜː f i
murray; m ˈ ʌ ɹ i
muscle; m ˈ ʌ s ə l
muscles; m ˈ ʌ s ə l z
muse; m j ˈ uː z
museum; m j uː z ˈ ɪə m
museums; m j uː z ˈ ɪə m z
mush; m ˈ ʌ ʃ
mushroom; m ˈ ʌ ʃ ɹ uː m
mushrooms; m ˈ ʌ ʃ ɹ uː m z
music; m j ˈ uː z ɪ k
musical; m j ˈ uː z ɪ k ə l
musician; m j uː z ˈ ɪ ʃ ə n
musicians; m j uː z ˈ ɪ ʃ ə n z
musk; m ˈ ʌ s k
muslim; m ˈ ʌ z l ɪ m
muslim; m ˈ ʊ z l ɪ m
muslims; m ˈ ʌ z l ɪ m z
muslims; m ˈ ʊ z l ɪ m z
mussle; m ˈ ʌ s ə l
must; m ˈ ʌ s t
mustang; m ˈ ʌ s t ˌ æ ŋ
mustard; m ˈ ʌ s t ə d
mustn't; m ˈ ʌ s ə n t
mutatant; m j uː t ə n t
mutate; m j uː t ˈ eɪ t
mutation; m j uː t ˈ eɪ ʃ ə n
mute; m j ˈ uː t
muted; m j ˈ uː t ɪ d
mutter; m ˈ ʌ t ə
muttered; m ˈ ʌ t ə d
mutual; m j ˈ uː t͡ʃ ʊə l
my; m ˈ aɪ
myanmar; m j ˈ æ n m ɑː
myanmar; m ˈ aɪ æ n m ɑː
myers; m ˈ aɪ ə z
myrtle; m ˈ ɜː t ə l
myself; m ˌ aɪ s ˈ ɛ l f
mysterious; m ɪ s t ˈ ɪə ɹ ɪə s
mystery; m ˈ ɪ s t ə ɹ i
mystic; m ˈ ɪ s t ɪ k
mystique; m ɪ s t ˈ iː k
myth; m ˈ ɪ θ
nab; n ˈ æ b
naff; n ˈ æ f
nag; n ˈ æ g
nagging; n ˈ æ g ɪ ŋ
nah; n ˈ æ
nail; n ˈ eɪ l
nails; n ˈ eɪ l z
naive; n ˌ aɪ ˈ iː v
naked; n ˈ eɪ k ɪ d
name; n ˈ eɪ m
named; n ˈ eɪ m d
namely; n ˈ eɪ m l i
names; n ˈ eɪ m z
namibia; n ə m ˈ ɪ b ɪə
nan; n ˈ æ n
nana; n ˈ æ n ə
nancy; n ˈ æ n s i
nanny; n ˈ æ n i
nap; n ˈ æ p
nape; n ˈ eɪ p
naples; n ˈ eɪ p ə l z
napoleon; n ə p ˈ əʊ l ɪə n
nappy; n ˈ æ p i
narrative; n ˈ æ ɹ ə t ɪ v
narrator; n ə ɹ ˈ eɪ t ə
narrow; n ˈ æ ɹ əʊ
narrowly; n ˈ æ ɹ əʊ l i
nasa; n ˈ æ s ə
nasal; n ˈ eɪ z ə l
nascar; n ˈ æ s k ˌ ɑː
nasdaq; n ˈ æ z d æ k
nashville; n ˈ æ ʃ v ɪ l
nasty; n ˈ ɑː s t i
nat; n ˈ æ t
natalie; n ˈ æ t ə l i
nathan; n ˈ eɪ θ ə n
nation; n ˈ eɪ ʃ ə n
national; n ˈ æ ʃ n ə l
national; n ˈ æ ʃ ə n ə l
nationalism; n ˈ æ ʃ ə n ə l ˌ ɪ z ə m
nationalist; n ˈ æ ʃ n ə l ɪ s t
nationalist; n ˈ æ ʃ ə n ə l ɪ s t
nationality; n ˌ æ ʃ ə n ˈ æ l ɪ t i
nationally; n ˈ æ ʃ n ə l i
nationally; n ˈ æ ʃ ə n ə l i
nations; n ˈ eɪ ʃ ə n z
nationwide; n ˈ eɪ ʃ ə n w ˌ aɪ d
native; n ˈ eɪ t ɪ v
nato; n ˈ eɪ t əʊ
natural; n ˈ æ t͡ʃ ɹ ə l
natural; n ˈ æ t͡ʃ ə ɹ ə l
naturally; n ˈ æ t͡ʃ ɹ ə l i
naturally; n ˈ æ t͡ʃ ə ɹ ə l i
naturals; n ˈ æ t͡ʃ ɹ ə l z
naturals; n ˈ æ t͡ʃ ə ɹ ə l z
nature; n ˈ eɪ t͡ʃ ə
naughty; n ˈ ɔː t i
nauseous; n ˈ ɔː z ɪə s
nauseous; n ˈ ɔː s ɪə s
naval; n ˈ eɪ v ə l
nave; n ˈ eɪ v
navel; n ˈ eɪ v ə l
navigate; n ˈ æ v ɪ g ˌ eɪ t
navigation; n ˌ æ v ɪ g ˈ eɪ ʃ ə n
navigator; n ˈ æ v ɪ g ˌ eɪ t ə
navy; n ˈ eɪ v i
nay; n ˈ eɪ
nazi; n ˈ ɑː t s i
near; n ˈ ɪə
nearby; n ˈ ɪə b ˌ aɪ
nearby; n ˌ ɪə b ˈ aɪ
nearer; n ˈ ɪə ɹ ə
nearest; n ˈ ɪə ɹ ɪ s t
nearly; n ˈ ɪə l i
neat; n ˈ iː t
neatly; n ˈ iː t l i
nebraska; n ə b ɹ ˈ æ s k ə
nebula; n ˈ ɛ b j ʊ l ə
nebulae; n ˈ ɛ b j ʊ l ˌ iː
nebulas; n ˈ ɛ b j ʊ l ə z
nebulous; n ˈ ɛ b j ʊ l ə s
necessarily; n ˌ ɛ s ə s ˈ ɛ ɹ ɪ l i
necessary; n ˈ ɛ s ə s ə ɹ i
necessity; n ɪ s ˈ ɛ s ɪ t i
neck; n ˈ ɛ k
necklace; n ˈ ɛ k l ɪ s
nee; n ˈ eɪ
need; n ˈ iː d
needed; n ˈ iː d ɪ d
needing; n ˈ iː d ɪ ŋ
needle; n ˈ iː d ə l
needles; n ˈ iː d ə l z
needless; n ˈ iː d l ɪ s
needn't; n ˈ iː d ə n t
needs; n ˈ iː d z
needy; n ˈ iː d i
negative; n ˈ ɛ g ə t ɪ v
neglect; n ɪ g l ˈ ɛ k t
negligence; n ˈ ɛ g l ɪ d͡ʒ ə n s
negotiate; n ɪ g ˈ əʊ ʃ ɪ ˌ eɪ t
negotiation; n ɪ g ˌ əʊ ʃ ɪ ˈ eɪ ʃ ə n
negotiations; n ə g ˌ əʊ ʃ ɪ ˈ eɪ ʃ ə n z
negotiations; n ɪ g ˌ əʊ ʃ ɪ ˈ eɪ ʃ ə n z
neigh; n ˈ eɪ
neighbor; n ˈ eɪ b ə
neighborhood; n ˈ eɪ b ə h ˌ ʊ d
neighbors; n ˈ eɪ b ə z
neighbour; n ˈ eɪ b ə
neighbourhood; n ˈ eɪ b ə h ˌ ʊ d
neighbouring; n ˈ eɪ b ə ɹ ɪ ŋ
neighbours; n ˈ eɪ b ə z
neil; n ˈ iː l
neither; n ˈ aɪ ð ə
neither; n ˈ iː ð ə
nelson; n ˈ ɛ l s ə n
nemeses; n ˈ ɛ m ɪ s iː z
nemesis; n ˈ ɛ m ɪ s ɪ s
neo; n ˈ iː əʊ
neon; n ˈ iː ɒ n
nepal; n ə p ˈ ɔː l
nephew; n ˈ ɛ f j uː
neptune; n ˈ ɛ p t j uː n
nerd; n ˈ ɜː d
nerve; n ˈ ɜː v
nerves; n ˈ ɜː v z
nervous; n ˈ ɜː v ə s
nest; n ˈ ɛ s t
nested; n ˈ ɛ s t ɪ d
net; n ˈ ɛ t
netherlands; n ˈ ɛ ð ə l ə n d z
netscape; n ˈ ɛ t s k ˌ eɪ p
nettle; n ˈ ɛ t ə l
network; n ˈ ɛ t w ˌ ɜː k
networking; n ˈ ɛ t w ˌ ɜː k ɪ ŋ
networks; n ˈ ɛ t w ˌ ɜː k s
neural; n j ˈ ʊə ɹ ə l
neuron; n j ˈ ʊə ɹ ɒ n
neurone; n j ˈ ʊə ɹ ɒ n
neutral; n j ˈ uː t ɹ ə l
nevada; n ɪ v ˈ ɑː d ə
never; n ˈ ɛ v ə
nevertheless; n ˌ ɛ v ə ð ə l ˈ ɛ s
new; n j ˈ uː
newark; n j ˈ uː ə k
newbie; n j ˈ uː b i
newcastle; n j ˈ uː k ˌ ɑː s ə l
newcomer; n j ˈ uː k ˌ ʌ m ə
newcomers; n j ˈ uː k ˌ ʌ m ə z
newer; n j ˈ uː ə
newest; n j ˈ uː ɪ s t
newfoundland; n j uː f ˈ aʊ n d l ə n d
newfoundland; n j ˈ uː f ə n d l ə n d
newham; n j ˈ uː ə m
newly; n j ˈ uː l i
newport; n j ˈ uː p ˌ ɔː t
news; n j ˈ uː z
newsletter; n j ˈ uː z l ˌ ɛ t ə
newsletters; n j ˈ uː z l ˌ ɛ t ə z
newspaper; n j ˈ uː z p ˌ eɪ p ə
newspapers; n j ˈ uː z p ˌ eɪ p ə z
newt; n j ˈ uː t
newton; n j ˈ uː t ə n
next; n ˈ ɛ k s t
niagara; n aɪ ˈ æ g ɹ ə
nib; n ˈ ɪ b
nibble; n ˈ ɪ b ə l
nicaragua; n ˌ ɪ k ə ɹ ˈ æ g w ə
nicaragua; n ˌ ɪ k ə ɹ ˈ æ g j ʊə
nice; n ˈ aɪ s
nice; n ˈ iː s
nicely; n ˈ aɪ s l i
nicer; n ˈ aɪ s ə
niche; n ˈ iː ʃ
niche; n ˈ ɪ t͡ʃ
nicholas; n ˈ ɪ k l ə s
nicholas; n ˈ ɪ k ə l ə s
nick; n ˈ ɪ k
nicked; n ˈ ɪ k t
nickel; n ˈ ɪ k ə l
nickname; n ˈ ɪ k n ˌ eɪ m
nicky; n ˈ ɪ k i
nicola; n ˈ ɪ k ə l ə
nicole; n ɪ k ˈ əʊ l
nicosia; n ˌ ɪ k ə s ˈ ɪə
nicosia; n ˌ ɪ k ə s ˈ iː ə
niece; n ˈ iː s
nifty; n ˈ ɪ f t i
nigel; n ˈ aɪ d͡ʒ ə l
niger; n iː ʒ ˈ ɛə
niger; n ˈ aɪ d͡ʒ ə
nigeria; n aɪ d͡ʒ ˈ ɪə ɹ ɪə
nigger; n ˈ ɪ g ə
nigh; n ˈ aɪ
night; n ˈ aɪ t
nightlife; n ˈ aɪ t l ˌ aɪ f
nightmare; n ˈ aɪ t m ˌ ɛə
nights; n ˈ aɪ t s
nike; n ˈ aɪ k i
nil; n ˈ ɪ l
nile; n ˈ aɪ l
nimble; n ˈ ɪ m b ə l
nina; n ˈ iː n ə
nine; n ˈ aɪ n
nines; n ˈ aɪ n z
nineteen; n ˈ aɪ n t iː n
nineteen; n aɪ n t ˈ iː n
nineteenth; n aɪ n t ˈ iː n θ
nineteenth-century; n ˌ aɪ n t iː n θ s ˈ ɛ n t͡ʃ ə ɹ i
